side_a,side_b,tags
"Which nerves contribute to the formation of the pelvic plexuses?","The hypogastric nerves, pelvic splanchnic nerves, and sacral splanchnic nerves.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"Which nerve supplies the skin of the lateral thigh and can be compressed in tight clothing?","The lateral femoral cutaneous nerve (L2-L3).","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the function of the sacral splanchnic nerves?","They provide sympathetic innervation to the pelvic viscera.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What nerve carries pain from the upper part of the bladder?","Sympathetic fibers via the hypogastric plexus (T11-L2).","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What nerve carries pain from the lower part of the bladder?","Parasympathetic fibers via the pelvic splanchnic nerves (S2-S4).","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the function of the obturator nerve in the male pelvis?","It provides motor innervation to the adductor muscles of the thigh and sensory innervation to the medial thigh.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the role of the pudendal nerve in sexual function?","It provides sensory innervation to the penis and motor control of perineal muscles.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the origin of the lumbar splanchnic nerves?","L1-L2.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"Which nerves mediate detrusor muscle contraction for bladder emptying?","The pelvic splanchnic nerves (S2-S4, parasympathetic).","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the function of the sympathetic innervation to the internal urethral sphincter?","It maintains contraction to prevent urine leakage and retrograde ejaculation.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"Which nerve provides somatic innervation to the anal canal below the pectinate line?","The inferior rectal nerve (branch of the pudendal nerve).","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
"What is the primary autonomic control of the seminal vesicles?","Sympathetic fibers from T10-L2 via the inferior hypogastric plexus.","Male Reproductive System;ES;MRS;Anatomy;Male Pelvis;Pelvis;Innervation"
