side_a,side_b,tags
"How does parasympathetic stimulation affect the pancreas?","Parasympathetic stimulation increases pancreatic enzyme and bicarbonate secretion.","ES;Anatomy;Pancreas"
"What is the role of the celiac plexus in pancreatic innervation?","The celiac plexus provides autonomic innervation to the pancreas, including sympathetic fibers from the greater splanchnic nerve and parasympathetic fibers from the vagus nerve.","ES;Anatomy;Pancreas"
"What is the role of the superior mesenteric plexus in pancreatic innervation?","The superior mesenteric plexus supplies autonomic fibers to the pancreas, mainly affecting the head of the pancreas.","ES;Anatomy;Pancreas"
"Which nerve carries visceral pain sensation from the pancreas?","Visceral pain sensation from the pancreas is carried by afferent fibers traveling with the sympathetic nerves (greater splanchnic nerve).","ES;Anatomy;Pancreas"
"What is the main neurotransmitter involved in sympathetic innervation of the pancreas?","The main neurotransmitter for sympathetic innervation of the pancreas is norepinephrine.","ES;Anatomy;Pancreas"
"What is the main neurotransmitter involved in parasympathetic innervation of the pancreas?","The main neurotransmitter for parasympathetic innervation of the pancreas is acetylcholine.","ES;Anatomy;Pancreas"
"How do the autonomic nerves reach the pancreas?","Autonomic nerves reach the pancreas through the celiac and superior mesenteric plexuses, which follow the blood vessels.","ES;Anatomy;Pancreas"
"What is the embryological origin of the pancreas?","The pancreas develops from the dorsal and ventral pancreatic buds of the foregut.","ES;Anatomy;Pancreas"
"What is the function of the islets of Langerhans in the pancreas?","The islets of Langerhans are responsible for endocrine functions, including insulin, glucagon, and somatostatin secretion.","ES;Anatomy;Pancreas"
"Which pancreatic cells produce insulin?","Beta cells in the islets of Langerhans produce insulin.","ES;Anatomy;Pancreas"
"Which pancreatic cells produce glucagon?","Alpha cells in the islets of Langerhans produce glucagon.","ES;Anatomy;Pancreas"
"Which pancreatic cells produce somatostatin?","Delta cells in the islets of Langerhans produce somatostatin.","ES;Anatomy;Pancreas"
"What type of epithelium lines the pancreatic ducts?","The pancreatic ducts are lined by simple cuboidal to columnar epithelium.","ES;Anatomy;Pancreas"
"What is the histological structure of pancreatic acini?","Pancreatic acini are composed of pyramidal-shaped exocrine cells with basophilic cytoplasm due to abundant rough endoplasmic reticulum.","ES;Anatomy;Pancreas"
"Which enzyme-secreting cells are found in the pancreas?","Pancreatic acinar cells secrete digestive enzymes, including amylase, lipase, and proteases (trypsinogen, chymotrypsinogen).","ES;Anatomy;Pancreas"
"How does the pancreas prevent self-digestion by its enzymes?","The pancreas secretes proteases in inactive forms (zymogens), which are activated only in the duodenum.","ES;Anatomy;Pancreas"
"What is the role of the pancreatic duct?","The pancreatic duct transports digestive enzymes and bicarbonate to the duodenum.","ES;Anatomy;Pancreas"
"What is the accessory pancreatic duct?","The accessory pancreatic duct (duct of Santorini) is a secondary duct that may drain into the minor duodenal papilla.","ES;Anatomy;Pancreas"
"Where does the main pancreatic duct empty?","The main pancreatic duct (duct of Wirsung) empties into the duodenum at the major duodenal papilla.","ES;Anatomy;Pancreas"
"Which structure controls the release of pancreatic secretions into the duodenum?","The sphincter of Oddi controls the release of pancreatic secretions into the duodenum.","ES;Anatomy;Pancreas"
"What is the effect of secretin on the pancreas?","Secretin stimulates the pancreas to secrete bicarbonate-rich fluid.","ES;Anatomy;Pancreas"
"What is the effect of cholecystokinin (CCK) on the pancreas?","Cholecystokinin (CCK) stimulates the pancreas to secrete enzyme-rich fluid.","ES;Anatomy;Pancreas"
"What is pancreatic stellate cell activation associated with?","Pancreatic stellate cell activation is associated with fibrosis in chronic pancreatitis.","ES;Anatomy;Pancreas"
"What histological feature distinguishes endocrine from exocrine pancreas?","The endocrine pancreas (islets of Langerhans) lacks ducts, whereas the exocrine pancreas (acini) has extensive ductal structures.","ES;Anatomy;Pancreas"
"What staining characteristic differentiates pancreatic acinar cells from islet cells?","Pancreatic acinar cells have a basophilic cytoplasm due to abundant rough ER, while islet cells stain lighter due to their endocrine nature.","ES;Anatomy;Pancreas"
